"Title","Url","isPublished","SocCode","EscoTitle","EscoUri","status after SME check","SME comments"
"Visual merchandiser","visual-merchandiser","Published","7125C","visual merchandiser","http://data.europa.eu/esco/occupation/35eb0aa6-b40d-449d-9390-719be8912277",,
"Vlogger","vlogger","Published","3413H","vlogger","http://data.europa.eu/esco/occupation/51ec004e-aec8-4f89-b114-952bcc56b0b0",,
"Waiter","waiter","Published","9273A","waiter/waitress","http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471",,
"Wardrobe assistant","wardrobe-assistant","Published","6211F","costume attendant","http://data.europa.eu/esco/occupation/30739eb6-218b-4e8a-9209-e2f36b9446cd",,
"Warehouse manager","warehouse-manager","Published","1162A","warehouse manager","http://data.europa.eu/esco/occupation/2f5de1ab-eddf-4715-8193-e994912c22ea",,
"Warehouse worker","warehouse-worker","Published","9260A","warehouse worker","http://data.europa.eu/esco/occupation/bea705fe-06ac-4147-b8e0-6e8ac1208d8f",,
"Watch or clock repairer","watch-or-clock-repairer","Published","5224B","watch and clock repairer","http://data.europa.eu/esco/occupation/1a953e5a-f53f-461d-818b-6b2e655a751f",,
"Water network operative","water-network-operative","Published","8126B","water network operative","http://data.europa.eu/esco/occupation/094b9f9b-7e89-4f34-adbb-fbaf7246f7a4",,
"Water treatment worker","water-treatment-worker","Published","8126C","water treatment systems operator","http://data.europa.eu/esco/occupation/1ab184b6-de00-4476-ba1d-c6a71c668be3",,
"Web content editor","web-content-editor","Published","2137B","web content manager","http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027","good match","poss http://data.europa.eu/esco/occupation/bcba793e-44fe-45eb-b0fb-56772529cbab - editorial assistant incl digital"
"Web content manager","web-content-manager","Published","2137C","web content manager","http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027",,
"Web designer","web-designer","Published","2137D","digital media designer","http://data.europa.eu/esco/occupation/d5a43cd3-230e-46d0-ba05-d67d61e5cfbb",,"ESCO digital media designer closest match though not exact"
"Web developer","web-developer","Published","2137E","web developer","http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d",,
"Wedding planner","wedding-planner","Published","3546C","wedding planner","http://data.europa.eu/esco/occupation/6662e56e-bc3d-4d9b-bed2-79d510d7c4ff",,
"Welder","welder","Published","5215A","welder","http://data.europa.eu/esco/occupation/7aedaa07-3884-4c5b-88f9-80997b2aa54b",,
"Welfare rights officer","welfare-rights-officer","Published","3239C","benefits advice worker","http://data.europa.eu/esco/occupation/4c40c1e8-0584-4a77-8ca3-ec82538f9488",,
"Wind turbine technician","wind-turbine-technician","Published","3113J","wind turbine technician","http://data.europa.eu/esco/occupation/98562ce3-9632-4226-b129-c67eb9c54f0f",,
"Window cleaner","window-cleaner","Published","9231A","window cleaner","http://data.europa.eu/esco/occupation/92cba6b4-8fca-49bb-b68c-45c5096fedc9",,
"Window fitter","window-fitter","Published","5316B","window installer","http://data.europa.eu/esco/occupation/353a22a7-1c55-410c-a7a7-c531692b5e50",,
"Windscreen fitter","windscreen-fitter","Published","8135A","vehicle glazier","http://data.europa.eu/esco/occupation/211716b7-2857-40c8-a078-da983c78c70a",,
"Wine merchant","wine-merchant","Published","1254D","beverages specialised seller","http://data.europa.eu/esco/occupation/63d99701-1a6c-4c57-87c8-4b0d5c0b4408","good match","ESCO also has beverages shop manager though specialised seller slightly closer to JP desc"
"Wood machinist","wood-machinist","Published","8121B","woodturner","http://data.europa.eu/esco/occupation/ac160654-0d3e-49aa-b798-1861ce9d78b6","good match","CNC wood machinist under ESCO alt label"
"Writer","writer","Published","3412H","writer","http://data.europa.eu/esco/occupation/b06a1dde-e5a1-4219-9491-2bedd0282e4b",,
"Yard person","yard-person","Published","9260D","warehouse worker","http://data.europa.eu/esco/occupation/bea705fe-06ac-4147-b8e0-6e8ac1208d8f","good match","Wholesale merchants in wood and construction materials higher level. Use warehouse worker http://data.europa.eu/esco/occupation/bea705fe-06ac-4147-b8e0-6e8ac1208d8f"
"Yoga teacher","yoga-teacher","Published","3443D","Pilates teacher","http://data.europa.eu/esco/occupation/3e6488b6-3ca5-46b9-b380-5cd251d24824",,
"Yoga therapist","yoga-therapist","Published","3443E","Pilates teacher
sport therapist","http://data.europa.eu/esco/occupation/3e6488b6-3ca5-46b9-b380-5cd251d24824
http://data.europa.eu/esco/occupation/394bdd9b-3ee8-43a9-b943-442ce146bb21
http://data.europa.eu/esco/occupation/394bdd9b-3ee8-43a9-b943-442ce146bb21","decision req","yoga teacher is listed under ESCO alt labels for Pilates teacher but would need to swap Pilates terms for yoga in any list otherewise users may be confused"
"Youth offending team officer","youth-offending-team-officer","Published","2443B","youth offending team worker","http://data.europa.eu/esco/occupation/4bdc4e52-1c9c-4d80-898a-18522d905fee",,
"Youth worker","youth-worker","Published","3231E","youth worker","http://data.europa.eu/esco/occupation/b7507136-e71e-47e8-b873-e77d5cdf2922",,
"Zookeeper","zookeeper","Published","6139A","zookeeper","http://data.europa.eu/esco/occupation/f7066fc0-5f2f-43a9-bd35-a99e6119490d",,
"Zoologist","zoologist","Published","2112M","zoology technician","http://data.europa.eu/esco/occupation/ff4c28e2-66b1-4ae7-9053-fba8ec3428be",,
